id,created_at,buyer_entity_id,claims
14543,2021-04-07 01:46:33 UTC,2368148,"[1177565]"
120,2020-09-15 19:56:42 UTC,882833,"[78872]"
131,2020-09-15 20:15:25 UTC,882833,"[77647]"
134,2020-09-15 20:18:05 UTC,882833,"[79639]"
2552,2020-11-17 22:38:21 UTC,882833,"[84215]"
3110,2020-12-18 17:37:57 UTC,2028115,"[1263635]"
3111,2020-12-18 17:38:15 UTC,2028115,"[1263588]"
3112,2020-12-18 17:38:33 UTC,2028115,"[1263632]"
3113,2020-12-18 17:38:57 UTC,2028115,"[1263764]"
3114,2020-12-18 17:39:17 UTC,2028115,"[1263933]"
3115,2020-12-18 17:39:25 UTC,2075981,"[1363241]"
3116,2020-12-18 17:39:31 UTC,2028115,"[1263906]"
138,2020-09-15 20:22:04 UTC,882833,"[78924]"
142,2020-09-15 20:24:58 UTC,882833,"[79603]"
148,2020-09-15 20:30:38 UTC,882833,"[76585]"
152,2020-09-15 20:34:59 UTC,882833,"[1100972]"
3117,2020-12-18 17:39:49 UTC,2028115,"[1263634]"
3118,2020-12-18 17:40:09 UTC,2028115,"[1316809]"
3119,2020-12-18 17:40:28 UTC,2028115,"[1245578]"
3120,2020-12-18 17:40:42 UTC,2028115,"[1263727]"
3121,2020-12-18 17:40:56 UTC,2028115,"[1263756]"
3122,2020-12-18 17:41:16 UTC,2028115,"[1263623]"
3123,2020-12-18 17:41:30 UTC,2028115,"[1263653]"
3124,2020-12-18 17:41:43 UTC,2028115,"[1263724]"
3125,2020-12-18 17:41:57 UTC,2028115,"[1263719]"
3126,2020-12-18 17:42:10 UTC,2028115,"[1263585]"
3127,2020-12-18 17:43:13 UTC,2028115,"[1264007]"
3128,2020-12-18 17:43:35 UTC,2028115,"[1263911]"
3129,2020-12-18 17:43:53 UTC,2028115,"[1263846]"
3130,2020-12-18 17:44:07 UTC,2028115,"[1263840]"
3131,2020-12-18 17:44:19 UTC,2028115,"[1263839]"
3132,2020-12-18 17:44:31 UTC,2028115,"[1263841]"
3133,2020-12-18 17:44:48 UTC,2028115,"[1263763]"
3134,2020-12-18 17:45:04 UTC,2028115,"[1263546]"
3135,2020-12-18 17:45:20 UTC,2028115,"[1263845]"
3136,2020-12-18 17:45:34 UTC,2028115,"[1263920]"
3137,2020-12-18 17:45:50 UTC,2028115,"[1263900]"
3138,2020-12-18 17:46:05 UTC,2028115,"[1263847]"
3139,2020-12-18 17:46:25 UTC,2028115,"[1263913]"
3140,2020-12-18 17:46:38 UTC,2028115,"[1263885]"
3141,2020-12-18 17:46:53 UTC,2028115,"[1152119]"
3142,2020-12-18 17:47:12 UTC,2028115,"[1263668]"
3150,2020-12-21 15:22:27 UTC,882833,"[1432879]"
3151,2020-12-21 15:22:59 UTC,882833,"[1429330]"
3152,2020-12-21 15:23:46 UTC,882833,"[1432892]"
3153,2020-12-21 15:24:09 UTC,882833,"[1429319]"
3154,2020-12-21 15:24:27 UTC,882833,"[1430288]"
3155,2020-12-21 15:26:15 UTC,882833,"[1401308]"
3156,2020-12-21 15:26:53 UTC,882833,"[1401302]"
3157,2020-12-21 15:27:07 UTC,882833,"[1369522]"
3158,2020-12-21 15:27:29 UTC,882833,"[1401300]"
3159,2020-12-21 15:28:21 UTC,882833,"[1401301]"
3160,2020-12-21 15:28:51 UTC,882833,"[1401299]"
