id,negotiation_id,legal_entity_id,action
5397,2907,2239646,add_payment_info
5396,2907,2239646,sign
11993,5013,882833,offer
11994,5014,882833,offer
11995,5015,882833,offer
163,122,882833,offer
11996,5016,882833,offer
11997,5017,882833,offer
11998,5018,882833,offer
11999,5019,882833,offer
12000,5020,882833,offer
12001,5021,882833,offer
12002,5022,882833,offer
12003,5023,882833,offer
12004,5024,882833,offer
12005,5025,882833,offer
12006,5026,882833,offer
12007,5027,882833,offer
12008,5028,882833,offer
12009,5029,882833,offer
12010,5030,882833,offer
12011,5031,882833,offer
12012,5032,882833,offer
12013,5033,882833,offer
12014,5034,882833,offer
12015,5035,882833,offer
12016,5036,882833,offer
48872,26480,2368148,offer
48873,26481,2368148,offer
223,162,,stage_for_transfer
229,85,,stage_for_transfer
107513,32061,,cancel
111651,4712,,cancel
184,143,882833,offer
185,144,882833,offer
187,146,882833,offer
189,148,882833,offer
195,150,882833,offer
212,167,882833,offer
213,168,882833,offer
12017,5037,882833,offer
12018,5038,882833,offer
12019,5039,882833,offer
12020,5040,882833,offer
12021,5041,882833,offer
12022,5042,882833,offer
12023,5043,882833,offer
12024,5044,882833,offer
12025,5045,882833,offer
12026,5046,882833,offer
12027,5047,882833,offer
12028,5048,882833,offer
5980,3372,882833,offer
5981,3373,882833,offer
5982,3374,882833,offer
5983,3375,882833,offer
5995,3387,882833,offer
5996,3388,882833,offer
5997,3389,882833,offer
5998,3390,882833,offer
5999,3391,882833,offer
6000,3392,882833,offer
6001,3393,882833,offer
6002,3394,882833,offer
6003,3395,882833,offer
110558,41220,882833,offer
110414,41222,2129659,offer
110415,41223,2129659,offer
110416,41224,2129659,offer
110417,41225,2129659,offer
110418,41226,2129659,offer
12029,5049,882833,offer
12030,5050,882833,offer
12031,5051,882833,offer
12032,5052,882833,offer
12033,5053,882833,offer
12034,5054,882833,offer
12035,5055,882833,offer
12036,5056,882833,offer
12037,5057,882833,offer
12038,5058,882833,offer
12039,5059,882833,offer
12040,5060,882833,offer
12041,5061,882833,offer
12042,5062,882833,offer
107516,32060,,cancel
111652,4703,,cancel
110419,41227,2129659,offer
110421,41229,2129659,offer
268,207,882833,offer
269,208,882833,offer
270,209,882833,offer
271,210,882833,offer
272,211,882833,offer
273,212,882833,offer
274,213,882833,offer
276,215,882833,offer
278,217,882833,offer
279,218,882833,offer
280,219,882833,offer
281,220,882833,offer
282,221,882833,offer
283,222,882833,offer
284,223,882833,offer
12043,5063,882833,offer
12044,5064,882833,offer
12045,5065,882833,offer
12046,5066,882833,offer
12047,5067,882833,offer
12048,5068,882833,offer
12049,5069,882833,offer
12050,5070,882833,offer
12051,5071,882833,offer
12052,5072,882833,offer
12053,5073,882833,offer
12054,5074,882833,offer
5816,3274,,cancel
107517,21675,,cancel
12055,5075,882833,offer
12056,5076,882833,offer
12057,5077,882833,offer
12058,5078,882833,offer
12059,5079,882833,offer
12060,5080,882833,offer
12061,5081,882833,offer
12062,5082,882833,offer
5395,2907,2239646,accept
